time-(s),steering-angle-(rad),steering-angle-velocity-(rad/s),speed-(m/s),acceleration-(m/s^2),jerk-(m/s^3)
1.75351,0.00429274,0,1.98579,0,0
1.75587,0.00468582,0.166738,1.9845,-0.547583,-232.274
1.75971,0.00468582,0,1.9845,0,142.477
1.76407,0.00468582,0,1.9845,0,0
1.768,0.00498385,0.0757444,1.98352,-0.24847,-63.1496
1.77273,0.00498385,0,1.98352,0,52.5652
1.77697,0.00538159,0.0938383,1.98222,-0.307459,-72.5377
1.78011,0.00538159,0,1.98222,0,98.0367
1.78444,0.00538159,0,1.98222,0,0
1.78793,0.00568118,0.085894,1.98124,-0.281086,-80.5905
1.79242,0.00568118,0,1.98124,0,62.521
1.79567,0.00607544,0.121513,1.97995,-0.397237,-122.429
1.7998,0.00607544,0,1.97995,0,96.2026
1.80354,0.00607544,0,1.97995,0,0
1.80817,0.00629108,0.0465637,1.97925,-0.152054,-32.8337
1.81377,0.00626521,-0.00461912,1.97933,0.0150696,29.8398
1.8154,0.00626521,0,1.97933,0,-9.24207
1.81988,0.00626521,0,1.97933,0,0
1.82393,0.00626521,0,1.97933,0,0
1.82745,0.00589696,-0.104483,1.98053,0.341338,96.8461
1.83236,0.00589696,0,1.98053,0,-69.5258
1.83633,0.00548139,-0.104766,1.98189,0.3427,86.3971
1.84086,0.00548139,0,1.98189,0,-75.501
1.84462,0.00548139,0,1.98189,0,0
1.84805,0.00489752,-0.170206,1.98381,0.557652,162.563
1.85238,0.00436209,-0.123687,1.98556,0.406014,-35.0287
1.85556,0.00436209,0,1.98556,0,-127.361
1.86154,0.00436209,0,1.98556,0,0
1.86835,0.00436209,0,1.98556,0,0
1.90787,0.00324064,-0.0283786,1.98926,0.0934074,2.36372
1.91211,0.00324064,0,1.98926,0,-22.0472
1.91572,0.00309566,-0.0401687,1.98973,0.132472,36.7019
1.9195,0.00309566,0,1.98973,0,-35.0003
1.92356,0.00309566,0,1.98973,0,0
1.92758,0.00309199,-0.000912724,1.98975,0.00302258,0.751355
1.93368,0.00309199,0,1.98975,0,-0.495336
1.93601,0.00303755,-0.0234164,1.98993,0.0772741,33.2388
1.93992,0.00303755,0,1.98993,0,-19.7834
1.94339,0.00303755,0,1.98993,0,0
1.94763,0.00311138,0.0173952,1.98968,-0.0574125,-13.5276
1.95231,0.00311138,0,1.98968,0,12.2697
1.95563,0.00311807,0.00201961,1.98966,-0.00665659,-2.00919
1.96001,0.00311807,0,1.98966,0,1.51763
1.96358,0.00311807,0,1.98966,0,0
1.96797,0.00325157,0.0303935,1.98922,-0.100228,-22.8186
